"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Urabrask, Heretic Praetor","R","M","1913","1.60","1341","1.57","7243","56.0%","1194","61.4%","1630","58.2%","2824","59.6%","4400","53.7%","5.9pp"
"Phyrexian Obliterator","B","M","3603","1.65","1468","1.61","5205","48.7%","837","50.2%","1248","50.7%","2085","50.5%","3094","47.5%","3.0pp"
"Archfiend of the Dross","B","R","7274","1.70","4248","1.63","20878","55.9%","3532","62.2%","5066","63.6%","8598","63.1%","12161","50.8%","12.3pp"
"Koth, Fire of Resistance","R","R","7055","1.67","4757","1.64","25777","57.2%","4428","60.2%","5569","60.4%","9997","60.3%","15726","55.3%","5.0pp"
"Urabrask's Forge","R","R","7483","1.77","5084","1.74","29357","57.7%","5279","66.2%","6480","58.6%","11759","62.0%","17539","54.8%","7.3pp"
"Venerated Rotpriest","G","R","7626","1.77","3297","1.74","14479","53.6%","2727","58.5%","3062","53.4%","5789","55.8%","8675","52.0%","3.8pp"
"Dragonwing Glider","R","R","7546","1.78","5377","1.75","30305","58.0%","4982","60.7%","6795","63.1%","11777","62.1%","18489","55.4%","6.7pp"
"Jin-Gitaxias, Progress Tyrant","U","M","2262","1.82","992","1.78","4193","51.7%","618","48.9%","1116","56.7%","1734","53.9%","2427","49.9%","4.1pp"
"Kaya, Intangible Slayer","WB","R","7394","1.86","3631","1.78","14555","53.5%","2228","54.1%","3339","58.5%","5567","56.7%","8942","51.4%","5.4pp"
"Blue Sun's Twilight","U","R","7988","1.88","4373","1.82","22152","55.7%","3637","57.8%","5997","63.3%","9634","61.3%","12542","51.6%","9.6pp"
"Migloz, Maze Crusher","RG","R","8224","1.99","5136","1.92","27465","59.1%","4870","67.8%","5996","65.9%","10866","66.8%","16575","54.0%","12.7pp"
"Capricious Hellraiser","R","M","4169","2.04","1993","2.05","8625","54.7%","1300","54.2%","2042","56.6%","3342","55.6%","5268","54.1%","1.6pp"
"Vraan, Executioner Thane","B","R","8709","2.04","3254","2.09","14611","52.8%","2648","53.1%","3314","55.7%","5962","54.6%","8603","51.6%","3.0pp"
